Frame,Time,Landmark_0_X,Landmark_0_Y,Landmark_0_Z,Landmark_1_X,Landmark_1_Y,Landmark_1_Z,Landmark_2_X,Landmark_2_Y,Landmark_2_Z,Landmark_3_X,Landmark_3_Y,Landmark_3_Z,Landmark_4_X,Landmark_4_Y,Landmark_4_Z,Landmark_5_X,Landmark_5_Y,Landmark_5_Z,Landmark_6_X,Landmark_6_Y,Landmark_6_Z,Landmark_7_X,Landmark_7_Y,Landmark_7_Z,Landmark_8_X,Landmark_8_Y,Landmark_8_Z,Landmark_9_X,Landmark_9_Y,Landmark_9_Z,Landmark_10_X,Landmark_10_Y,Landmark_10_Z,Landmark_11_X,Landmark_11_Y,Landmark_11_Z,Landmark_12_X,Landmark_12_Y,Landmark_12_Z,Landmark_13_X,Landmark_13_Y,Landmark_13_Z,Landmark_14_X,Landmark_14_Y,Landmark_14_Z,Landmark_15_X,Landmark_15_Y,Landmark_15_Z,Landmark_16_X,Landmark_16_Y,Landmark_16_Z,Landmark_17_X,Landmark_17_Y,Landmark_17_Z,Landmark_18_X,Landmark_18_Y,Landmark_18_Z,Landmark_19_X,Landmark_19_Y,Landmark_19_Z,Landmark_20_X,Landmark_20_Y,Landmark_20_Z
0,0.0,0.5212502479553223,0.9260889291763306,1.2049190978302704e-08,0.6242508888244629,0.8810369372367859,-0.11113816499710083,0.6571345329284668,0.7990446090698242,-0.16887356340885162,0.6513421535491943,0.7260025143623352,-0.21690647304058075,0.6699504256248474,0.6683601140975952,-0.2690074145793915,0.5138160586357117,0.716274619102478,-0.0906539112329483,0.4655383825302124,0.626937747001648,-0.13653890788555145,0.42383676767349243,0.5716933012008667,-0.17693188786506653,0.3846796154975891,0.5286592245101929,-0.20750151574611664,0.4323357343673706,0.730122447013855,-0.07161571830511093,0.33967727422714233,0.6440224051475525,-0.11469902843236923,0.26388198137283325,0.5980810523033142,-0.16393013298511505,0.19881954789161682,0.565361499786377,-0.20046444237232208,0.369283527135849,0.75614333152771,-0.06339967995882034,0.29394301772117615,0.680258572101593,-0.11186040192842484,0.23342105746269226,0.63414067029953,-0.16500744223594666,0.18639478087425232,0.6006078720092773,-0.20038622617721558,0.3187452554702759,0.7907603979110718,-0.06621477752923965,0.2525959312915802,0.7280846238136292,-0.11041714996099472,0.2133958637714386,0.6906542778015137,-0.14752496778964996,0.18382421135902405,0.6607655882835388,-0.17496256530284882
1,0.016677471636953,0.5208456516265869,0.9388329982757568,7.959423342640548e-09,0.6261241436004639,0.8882511854171753,-0.09044190496206284,0.6628320217132568,0.805059552192688,-0.13612371683120728,0.6606559753417969,0.7311432361602783,-0.17666670680046082,0.674190878868103,0.6705564260482788,-0.22087299823760986,0.5202096700668335,0.7205347418785095,-0.058686431497335434,0.48436883091926575,0.6287472248077393,-0.09872692823410034,0.45124974846839905,0.572867751121521,-0.1346069723367691,0.4192124605178833,0.5276334285736084,-0.16177184879779816,0.43928200006484985,0.7293305397033691,-0.04924922063946724,0.35311153531074524,0.6415865421295166,-0.08434021472930908,0.2864586114883423,0.5930095911026001,-0.12980356812477112,0.22784312069416046,0.5564181804656982,-0.16419534385204315,0.376076340675354,0.7519030570983887,-0.05124989151954651,0.3017669916152954,0.6744284629821777,-0.09512040764093399,0.247061625123024,0.6281582117080688,-0.14775680005550385,0.2032187283039093,0.5916755199432373,-0.1822739541530609,0.3277698755264282,0.7838671803474426,-0.0628800168633461,0.26419317722320557,0.7209961414337158,-0.10459218919277191,0.22632785141468048,0.6828891634941101,-0.14219050109386444,0.19461601972579956,0.6501097679138184,-0.16909289360046387
2,0.033354943273906,0.5252905488014221,0.9441363215446472,7.964400694504548e-09,0.6346489787101746,0.8934993147850037,-0.09640637040138245,0.6787604093551636,0.8091138005256653,-0.14503148198127747,0.6829133033752441,0.7331337332725525,-0.187607079744339,0.698461651802063,0.6729142665863037,-0.23348236083984375,0.5437150597572327,0.7212711572647095,-0.06360498815774918,0.5201172232627869,0.6283563375473022,-0.10518777370452881,0.4954826831817627,0.5726896524429321,-0.1410520225763321,0.4693863093852997,0.5269502401351929,-0.16803686320781708,0.4600187838077545,0.7275513410568237,-0.05270550772547722,0.3848181664943695,0.6356161832809448,-0.08739104121923447,0.3273197412490845,0.5838876962661743,-0.13268567621707916,0.27574431896209717,0.5437884330749512,-0.16781410574913025,0.3943020701408386,0.7492754459381104,-0.05393347889184952,0.3259684443473816,0.6686625480651855,-0.09646418690681458,0.2776373624801636,0.6199119091033936,-0.1487860232591629,0.23813001811504364,0.5803039073944092,-0.18416337668895721,0.3441919982433319,0.78082275390625,-0.0655093640089035,0.28689679503440857,0.7167345881462097,-0.10579302906990051,0.25251126289367676,0.6769861578941345,-0.14320600032806396,0.22301089763641357,0.641170859336853,-0.17064476013183594
3,0.050032414910859,0.5347431898117065,0.9396083354949951,7.378103017430249e-09,0.6496527194976807,0.8900313973426819,-0.10008364915847778,0.7006503343582153,0.8059491515159607,-0.14972130954265594,0.7109269499778748,0.7304229736328125,-0.1925995945930481,0.7303650975227356,0.669593095779419,-0.2384260594844818,0.5673004984855652,0.7151344418525696,-0.06505344063043594,0.5580015182495117,0.620234489440918,-0.10709206014871597,0.5420557856559753,0.5643068552017212,-0.14254702627658844,0.5223537683486938,0.517676830291748,-0.16908220946788788,0.4819611608982086,0.719536542892456,-0.05248072370886803,0.41813021898269653,0.6230531334877014,-0.08808203041553497,0.367267370223999,0.5675168633460999,-0.1337738335132599,0.3206271529197693,0.5233728289604187,-0.1689969003200531,0.4141024351119995,0.7405272722244263,-0.05263277515769005,0.35346323251724243,0.6555240750312805,-0.09623845666646957,0.3125292658805847,0.6026707887649536,-0.14958830177783966,0.2789727449417114,0.5590682029724121,-0.1854594200849533,0.3626285791397095,0.7720577120780945,-0.06331116706132889,0.3129368722438812,0.7063848376274109,-0.103520967066288,0.2832351326942444,0.6651343107223511,-0.14125142991542816,0.257608026266098,0.627384603023529,-0.16892226040363312
4,0.066709886547812,0.5408165454864502,0.9377384185791016,8.555786301656099e-09,0.6616402864456177,0.8887060880661011,-0.09520235657691956,0.7215135097503662,0.8057557344436646,-0.1459561139345169,0.7394892573356628,0.7315022945404053,-0.19121190905570984,0.7614775896072388,0.6716790199279785,-0.23983629047870636,0.5944768786430359,0.7111274600028992,-0.06799622625112534,0.589814305305481,0.6157042980194092,-0.11284594982862473,0.5773546695709229,0.5594964027404785,-0.14994190633296967,0.5607016682624817,0.5118169188499451,-0.17764994502067566,0.5071236491203308,0.714555025100708,-0.06023939326405525,0.45112717151641846,0.6157407164573669,-0.09785014390945435,0.4083453416824341,0.5587778091430664,-0.14451377093791962,0.3686557710170746,0.5117163062095642,-0.18094559013843536,0.4362400770187378,0.7343581914901733,-0.06447084993124008,0.38200610876083374,0.6466779112815857,-0.1088375672698021,0.348285436630249,0.5914175510406494,-0.16195672750473022,0.3210623860359192,0.5452752113342285,-0.1984437108039856,0.3805382251739502,0.7647126913070679,-0.07884316891431808,0.33781230449676514,0.6964177489280701,-0.1192842647433281,0.31463444232940674,0.653533935546875,-0.1562766283750534,0.29513779282569885,0.6138755679130554,-0.1840137094259262
5,0.08338735818476499,0.536473274230957,0.9331730604171753,8.204032120318061e-09,0.6598881483078003,0.8844053745269775,-0.07764732837677002,0.7270014882087708,0.8032400608062744,-0.12216119468212128,0.7484538555145264,0.729555606842041,-0.16337431967258453,0.7696898579597473,0.6694318652153015,-0.20809391140937805,0.6058070659637451,0.7073442935943604,-0.06289725005626678,0.61015784740448,0.6119625568389893,-0.10540059953927994,0.6019151210784912,0.554694414138794,-0.13863153755664825,0.5891744494438171,0.5061980485916138,-0.16354738175868988,0.5190882682800293,0.7094605565071106,-0.062265507876873016,0.47280776500701904,0.6087413430213928,-0.09983237087726593,0.43216562271118164,0.5512392520904541,-0.1417420357465744,0.39352554082870483,0.5038710832595825,-0.1741309016942978,0.44764411449432373,0.7288744449615479,-0.07119744271039963,0.40463072061538696,0.6394657492637634,-0.11548325419425964,0.3730868101119995,0.5849052667617798,-0.163084477186203,0.34609347581863403,0.5394554734230042,-0.19480444490909576,0.3899626135826111,0.7596179842948914,-0.08852669596672058,0.3534693121910095,0.6908054351806641,-0.12871971726417542,0.3325241208076477,0.6475991606712341,-0.16248038411140442,0.3145711421966553,0.6078009605407715,-0.18699385225772858
6,0.100064829821718,0.5331674814224243,0.9324313998222351,9.05434838216479e-09,0.6592530608177185,0.8850518465042114,-0.06853070855140686,0.7254302501678467,0.8032488226890564,-0.10714279860258102,0.7439509630203247,0.72896808385849,-0.14419697225093842,0.7613165378570557,0.6686433553695679,-0.18471334874629974,0.6089485883712769,0.7049953937530518,-0.046916551887989044,0.6109258532524109,0.6115573048591614,-0.08641990274190903,0.6035146117210388,0.5552610158920288,-0.11748195439577103,0.5919265151023865,0.508039653301239,-0.14032351970672607,0.5205003023147583,0.7064704895019531,-0.049486469477415085,0.4772301912307739,0.6063152551651001,-0.08462190628051758,0.44054335355758667,0.5495535135269165,-0.12438587099313736,0.4050823152065277,0.5023437142372131,-0.1542820930480957,0.44731438159942627,0.7258783578872681,-0.06176160275936127,0.4080805778503418,0.6355483531951904,-0.10402859002351761,0.37958988547325134,0.5817938446998596,-0.14809682965278625,0.3548658490180969,0.5380357503890991,-0.1763906627893448,0.3868812322616577,0.757002592086792,-0.08209400624036789,0.35214316844940186,0.6860312819480896,-0.12040036916732788,0.33279669284820557,0.6420080661773682,-0.1514047235250473,0.31717371940612793,0.6024110317230225,-0.17316707968711853
7,0.116742301458671,0.5313132405281067,0.9363166689872742,1.2450304787137156e-08,0.6517301201820374,0.8854334950447083,-0.07551755756139755,0.7159925103187561,0.8017224073410034,-0.11638756841421127,0.7342318892478943,0.7271084189414978,-0.15558381378650665,0.7533276081085205,0.6668106317520142,-0.198379248380661,0.5944296717643738,0.7047010660171509,-0.042022962123155594,0.5914406776428223,0.6120826601982117,-0.07951872050762177,0.5803316235542297,0.5554444789886475,-0.11189422756433487,0.5663220286369324,0.5072379112243652,-0.1363871693611145,0.5063803195953369,0.708655834197998,-0.04211101308465004,0.4611242115497589,0.6110126376152039,-0.07290345430374146,0.42176008224487305,0.555986225605011,-0.11279371380805969,0.38385695219039917,0.5107815265655518,-0.14382879436016083,0.43480706214904785,0.7296764850616455,-0.053210772573947906,0.3944215178489685,0.6415987610816956,-0.09239883720874786,0.36557525396347046,0.5887500047683716,-0.13665013015270233,0.3397737741470337,0.5450681447982788,-0.16644127666950226,0.37682658433914185,0.7621665000915527,-0.07359465211629868,0.33957669138908386,0.6941359043121338,-0.1097305566072464,0.3209846019744873,0.65206378698349,-0.13991805911064148,0.305198609828949,0.6138701438903809,-0.16204436123371124
8,0.133419773095624,0.5352158546447754,0.9387308359146118,1.374346147997585e-08,0.6455087065696716,0.8860118389129639,-0.0956428050994873,0.6993361115455627,0.801644504070282,-0.14524760842323303,0.7105046510696411,0.7275974750518799,-0.19061784446239471,0.7242477536201477,0.6664813160896301,-0.23966357111930847,0.5662720799446106,0.7063627243041992,-0.05179359018802643,0.5550596117973328,0.6129499673843384,-0.09215480089187622,0.540608823299408,0.5561487674713135,-0.12917742133140564,0.5240301489830017,0.5075219869613647,-0.1571369767189026,0.4822205901145935,0.7126607298851013,-0.043400637805461884,0.42629745602607727,0.6164681315422058,-0.0745403990149498,0.3810354769229889,0.5623557567596436,-0.11882410943508148,0.3386806845664978,0.517790675163269,-0.15363040566444397,0.41609376668930054,0.7347641587257385,-0.04813462123274803,0.3674483597278595,0.6493080258369446,-0.0872148871421814,0.33314287662506104,0.5967410802841187,-0.13554324209690094,0.30382269620895386,0.5528045296669006,-0.16950927674770355,0.363963782787323,0.7682157158851624,-0.06434477120637894,0.31858712434768677,0.7033535242080688,-0.1005929484963417,0.2939215898513794,0.6631178855895996,-0.13280056416988373,0.273039847612381,0.6259596347808838,-0.15741261839866638
9,0.150097244732577,0.5330731272697449,0.9449412822723389,1.3911104268515828e-08,0.6373038291931152,0.8886393308639526,-0.08679750561714172,0.681648850440979,0.8016747236251831,-0.13115240633487701,0.6874913573265076,0.7258340120315552,-0.17271287739276886,0.700629711151123,0.6642518639564514,-0.21805886924266815,0.5424908995628357,0.7123326659202576,-0.04299872741103172,0.5195413827896118,0.6200962066650391,-0.08239003270864487,0.49653196334838867,0.5650484561920166,-0.11881735920906067,0.47154292464256287,0.5184605717658997,-0.14644268155097961,0.4596303701400757,0.720521867275238,-0.03859683498740196,0.38919126987457275,0.6263647675514221,-0.07158078253269196,0.33358579874038696,0.5741099119186401,-0.117590993642807,0.2828863859176636,0.5327030420303345,-0.15316729247570038,0.39550361037254333,0.7439886927604675,-0.04664785787463188,0.3343749940395355,0.6614773869514465,-0.08893081545829773,0.2910521328449249,0.6124285459518433,-0.13898397982120514,0.254449725151062,0.5725661516189575,-0.1726675033569336,0.34682101011276245,0.7784326076507568,-0.06512024998664856,0.29224562644958496,0.7157326936721802,-0.10432488471269608,0.2630823850631714,0.6779677867889404,-0.13780154287815094,0.2387317717075348,0.6440296173095703,-0.162406325340271
